variable,lat,lon,value
aridity_coldest-quarter,-13.0,4.5,0.9328716993331909
aridity_coldest-quarter,-13.0,5.0,0.9337703585624695
aridity_coldest-quarter,-13.0,5.5,0.9349313378334045
aridity_coldest-quarter,-13.0,6.0,0.937460720539093
aridity_coldest-quarter,-13.0,6.5,0.9364570379257202
aridity_coldest-quarter,-13.0,7.0,0.9396517872810364
aridity_coldest-quarter,-13.0,7.5,0.9392138123512268
aridity_coldest-quarter,-13.0,8.0,0.9354835748672485
aridity_coldest-quarter,-13.0,8.5,0.9344347715377808
aridity_coldest-quarter,-13.0,9.0,0.9383111596107483
aridity_coldest-quarter,-13.0,9.5,0.9447302222251892
aridity_coldest-quarter,-13.0,10.0,0.9413651823997498
aridity_coldest-quarter,-13.0,10.5,0.9373174905776978
aridity_coldest-quarter,-13.0,11.0,0.9399962425231934
aridity_coldest-quarter,-13.0,11.5,0.9477106928825378
aridity_coldest-quarter,-13.0,12.0,0.9600146412849426
aridity_coldest-quarter,-13.0,12.5,0.9642266035079956
aridity_coldest-quarter,-13.0,13.0,0.9994683265686035
aridity_coldest-quarter,-13.0,13.5,0.9552628397941589
aridity_coldest-quarter,-13.0,14.0,0.8964368104934692
aridity_coldest-quarter,-13.0,14.5,0.7126702070236206
aridity_coldest-quarter,-13.0,15.0,0.7025038003921509
aridity_coldest-quarter,-13.0,15.5,0.8479942679405212
aridity_coldest-quarter,-13.0,16.0,0.8801476359367371
aridity_coldest-quarter,-13.0,16.5,0.9210953116416931
aridity_coldest-quarter,-13.0,17.0,0.9506455659866333
aridity_coldest-quarter,-13.0,17.5,0.899776041507721
aridity_coldest-quarter,-13.0,18.0,0.8396739959716797
aridity_coldest-quarter,-13.0,18.5,0.9387316703796387
aridity_coldest-quarter,-13.0,19.0,0.9325590133666992
aridity_coldest-quarter,-13.0,19.5,0.9232246279716492
aridity_coldest-quarter,-13.0,20.0,0.9659061431884766
aridity_coldest-quarter,-13.0,20.5,0.9493016600608826
aridity_coldest-quarter,-13.0,21.0,0.9750834703445435
aridity_coldest-quarter,-13.0,21.5,0.9759458303451538
aridity_coldest-quarter,-13.0,22.0,0.9812845587730408
aridity_coldest-quarter,-13.0,22.5,0.9854591488838196
aridity_coldest-quarter,-13.0,23.0,0.9607365727424622
aridity_coldest-quarter,-13.0,23.5,0.943714439868927
aridity_coldest-quarter,-13.0,24.0,0.9465250372886658
aridity_coldest-quarter,-13.0,24.5,0.9424129128456116
aridity_coldest-quarter,-13.0,25.0,0.9358669519424438
aridity_coldest-quarter,-13.0,25.5,0.9500295519828796
aridity_coldest-quarter,-13.0,26.0,0.954739511013031
aridity_coldest-quarter,-13.0,26.5,0.9642109274864197
aridity_coldest-quarter,-13.0,27.0,0.976135790348053
aridity_coldest-quarter,-13.0,27.5,0.9883938431739807
aridity_coldest-quarter,-13.0,28.0,0.9899440407752991
aridity_coldest-quarter,-13.0,28.5,0.9913244843482971
aridity_coldest-quarter,-13.0,29.0,0.9932191967964172
aridity_coldest-quarter,-13.0,29.5,0.9949949383735657
aridity_coldest-quarter,-13.0,30.0,0.9937810301780701
aridity_coldest-quarter,-13.0,30.5,0.9867380261421204
aridity_coldest-quarter,-13.0,31.0,0.9566920399665833
aridity_coldest-quarter,-13.0,31.5,0.9823311567306519
aridity_coldest-quarter,-13.0,32.0,0.9947042465209961
aridity_coldest-quarter,-13.0,32.5,0.9962701797485352
aridity_coldest-quarter,-13.0,33.0,0.9951004385948181
aridity_coldest-quarter,-13.0,33.5,0.980452835559845
aridity_coldest-quarter,-13.0,34.0,0.9684430360794067
aridity_coldest-quarter,-13.0,34.5,0.9793461561203003
aridity_coldest-quarter,-12.5,0.5,0.9242771863937378
aridity_coldest-quarter,-12.5,1.0,0.9254671931266785
aridity_coldest-quarter,-12.5,1.5,0.9266433715820312
aridity_coldest-quarter,-12.5,2.0,0.9251642227172852
aridity_coldest-quarter,-12.5,2.5,0.9300022125244141
aridity_coldest-quarter,-12.5,3.0,0.928973376750946
aridity_coldest-quarter,-12.5,3.5,0.9315056800842285
aridity_coldest-quarter,-12.5,4.0,0.9339600801467896
aridity_coldest-quarter,-12.5,4.5,0.9321111440658569
aridity_coldest-quarter,-12.5,5.0,0.9339719414710999
aridity_coldest-quarter,-12.5,5.5,0.9313808083534241
aridity_coldest-quarter,-12.5,6.0,0.9336007833480835
aridity_coldest-quarter,-12.5,6.5,0.9350915551185608
aridity_coldest-quarter,-12.5,7.0,0.9347710609436035
aridity_coldest-quarter,-12.5,7.5,0.931860089302063
aridity_coldest-quarter,-12.5,8.0,0.931024968624115
aridity_coldest-quarter,-12.5,8.5,0.9328498840332031
aridity_coldest-quarter,-12.5,9.0,0.9336029887199402
aridity_coldest-quarter,-12.5,9.5,0.9343647360801697
aridity_coldest-quarter,-12.5,10.0,0.9339431524276733
aridity_coldest-quarter,-12.5,10.5,0.9348017573356628
aridity_coldest-quarter,-12.5,11.0,0.939123272895813
aridity_coldest-quarter,-12.5,11.5,0.9492740631103516
aridity_coldest-quarter,-12.5,12.0,0.9640811085700989
aridity_coldest-quarter,-12.5,12.5,0.9877834320068359
aridity_coldest-quarter,-12.5,13.0,0.9946821928024292
aridity_coldest-quarter,-12.5,13.5,0.9653183817863464
aridity_coldest-quarter,-12.5,14.0,0.911279559135437
aridity_coldest-quarter,-12.5,14.5,0.20794203877449036
aridity_coldest-quarter,-12.5,15.0,0.12331999093294144
aridity_coldest-quarter,-12.5,15.5,0.7683297991752625
aridity_coldest-quarter,-12.5,16.0,0.8551234006881714
aridity_coldest-quarter,-12.5,16.5,0.8944986462593079
aridity_coldest-quarter,-12.5,17.0,0.9268478155136108
aridity_coldest-quarter,-12.5,17.5,0.9217849969863892
aridity_coldest-quarter,-12.5,18.0,0.4342285990715027
aridity_coldest-quarter,-12.5,18.5,0.847725510597229
aridity_coldest-quarter,-12.5,19.0,0.9218196868896484
aridity_coldest-quarter,-12.5,19.5,0.9369943737983704
aridity_coldest-quarter,-12.5,20.0,0.9370015859603882
aridity_coldest-quarter,-12.5,20.5,0.9555162787437439
aridity_coldest-quarter,-12.5,21.0,0.9580081105232239
aridity_coldest-quarter,-12.5,21.5,0.9668923616409302
aridity_coldest-quarter,-12.5,22.0,0.9691089987754822
aridity_coldest-quarter,-12.5,22.5,0.9293465614318848
aridity_coldest-quarter,-12.5,23.0,0.8882708549499512
aridity_coldest-quarter,-12.5,23.5,0.9430295825004578
aridity_coldest-quarter,-12.5,24.0,0.9029098153114319
aridity_coldest-quarter,-12.5,24.5,0.9132164120674133
aridity_coldest-quarter,-12.5,25.0,0.9200215935707092
aridity_coldest-quarter,-12.5,25.5,0.9272914528846741
aridity_coldest-quarter,-12.5,26.0,0.9289281964302063
aridity_coldest-quarter,-12.5,26.5,0.9395759701728821
aridity_coldest-quarter,-12.5,27.0,0.9528664946556091
aridity_coldest-quarter,-12.5,27.5,0.9696298241615295
aridity_coldest-quarter,-12.5,28.0,0.9863781929016113
aridity_coldest-quarter,-12.5,28.5,0.9888098835945129
aridity_coldest-quarter,-12.5,29.0,0.9918879866600037
aridity_coldest-quarter,-12.5,29.5,0.9948535561561584
aridity_coldest-quarter,-12.5,30.0,0.9966046214103699
aridity_coldest-quarter,-12.5,30.5,0.9970788955688477
aridity_coldest-quarter,-12.5,31.0,0.9910382628440857
aridity_coldest-quarter,-12.5,31.5,0.9727026224136353
aridity_coldest-quarter,-12.5,32.0,0.9939974546432495
aridity_coldest-quarter,-12.5,32.5,0.9947934746742249
aridity_coldest-quarter,-12.5,33.0,0.9936895370483398
aridity_coldest-quarter,-12.5,33.5,0.9651944041252136
aridity_coldest-quarter,-12.5,34.0,0.9360510110855103
aridity_coldest-quarter,-12.5,34.5,0.9606666564941406
aridity_coldest-quarter,-12.0,0.5,0.923674464225769
aridity_coldest-quarter,-12.0,1.0,0.9238752126693726
aridity_coldest-quarter,-12.0,1.5,0.9238573312759399
aridity_coldest-quarter,-12.0,2.0,0.9226914048194885
aridity_coldest-quarter,-12.0,2.5,0.9271448850631714
aridity_coldest-quarter,-12.0,3.0,0.9283655881881714
aridity_coldest-quarter,-12.0,3.5,0.9308041334152222
aridity_coldest-quarter,-12.0,4.0,0.9290787577629089
aridity_coldest-quarter,-12.0,4.5,0.9285783767700195
aridity_coldest-quarter,-12.0,5.0,0.925941526889801
aridity_coldest-quarter,-12.0,5.5,0.926519513130188
aridity_coldest-quarter,-12.0,6.0,0.9262129068374634
aridity_coldest-quarter,-12.0,6.5,0.9258149862289429
aridity_coldest-quarter,-12.0,7.0,0.9289246201515198
aridity_coldest-quarter,-12.0,7.5,0.932796061038971
aridity_coldest-quarter,-12.0,8.0,0.9328277707099915
aridity_coldest-quarter,-12.0,8.5,0.9271990060806274
aridity_coldest-quarter,-12.0,9.0,0.9274610877037048
aridity_coldest-quarter,-12.0,9.5,0.93169105052948
aridity_coldest-quarter,-12.0,10.0,0.9321625828742981
aridity_coldest-quarter,-12.0,10.5,0.9401091933250427
aridity_coldest-quarter,-12.0,11.0,0.9432160258293152
aridity_coldest-quarter,-12.0,11.5,0.9367772340774536
aridity_coldest-quarter,-12.0,12.0,0.956817626953125
aridity_coldest-quarter,-12.0,12.5,0.9712973237037659
aridity_coldest-quarter,-12.0,13.0,0.9867563247680664
aridity_coldest-quarter,-12.0,13.5,0.8989788293838501
aridity_coldest-quarter,-12.0,14.0,0.900840699672699
aridity_coldest-quarter,-12.0,14.5,0.6176775097846985
aridity_coldest-quarter,-12.0,15.0,0.24620303511619568
aridity_coldest-quarter,-12.0,15.5,0.753443717956543
aridity_coldest-quarter,-12.0,16.0,0.771050751209259
aridity_coldest-quarter,-12.0,16.5,0.5210084319114685
aridity_coldest-quarter,-12.0,17.0,0.8448752164840698
aridity_coldest-quarter,-12.0,17.5,0.854494571685791
aridity_coldest-quarter,-12.0,18.0,0.32939836382865906
aridity_coldest-quarter,-12.0,18.5,0.7092062830924988
aridity_coldest-quarter,-12.0,19.0,0.6456929445266724
aridity_coldest-quarter,-12.0,19.5,0.6612979173660278
aridity_coldest-quarter,-12.0,20.0,0.8172726631164551
aridity_coldest-quarter,-12.0,20.5,0.8923134207725525
aridity_coldest-quarter,-12.0,21.0,0.8937749862670898
aridity_coldest-quarter,-12.0,21.5,0.8522054553031921
aridity_coldest-quarter,-12.0,22.0,0.8483847975730896
aridity_coldest-quarter,-12.0,22.5,0.7912969589233398
aridity_coldest-quarter,-12.0,23.0,0.3835427761077881
aridity_coldest-quarter,-12.0,23.5,0.4900289475917816
aridity_coldest-quarter,-12.0,24.0,0.7855715751647949
aridity_coldest-quarter,-12.0,24.5,0.8845371007919312
aridity_coldest-quarter,-12.0,25.0,0.897607147693634
aridity_coldest-quarter,-12.0,25.5,0.9059351682662964
aridity_coldest-quarter,-12.0,26.0,0.91541987657547
aridity_coldest-quarter,-12.0,26.5,0.9289698004722595
aridity_coldest-quarter,-12.0,27.0,0.954744815826416
aridity_coldest-quarter,-12.0,27.5,0.9702526330947876
aridity_coldest-quarter,-12.0,28.0,0.9858578443527222
aridity_coldest-quarter,-12.0,28.5,0.9918226003646851
aridity_coldest-quarter,-12.0,29.0,0.9927202463150024
aridity_coldest-quarter,-12.0,29.5,0.9945774078369141
aridity_coldest-quarter,-12.0,30.0,0.9966596961021423
aridity_coldest-quarter,-12.0,30.5,0.9970926642417908
aridity_coldest-quarter,-12.0,31.0,0.997298538684845
aridity_coldest-quarter,-12.0,31.5,0.9779912233352661
aridity_coldest-quarter,-12.0,32.0,0.9890252351760864
aridity_coldest-quarter,-12.0,32.5,0.9895426034927368
aridity_coldest-quarter,-12.0,33.0,0.9794769287109375
aridity_coldest-quarter,-12.0,33.5,0.9601389765739441
aridity_coldest-quarter,-12.0,34.0,0.8503810167312622
aridity_coldest-quarter,-12.0,34.5,0.8590772747993469
aridity_coldest-quarter,-11.5,0.5,0.9186784625053406
aridity_coldest-quarter,-11.5,1.0,0.9217153191566467
aridity_coldest-quarter,-11.5,1.5,0.9256407618522644
aridity_coldest-quarter,-11.5,2.0,0.9243918061256409
aridity_coldest-quarter,-11.5,2.5,0.9245836138725281
aridity_coldest-quarter,-11.5,3.0,0.9253545999526978
aridity_coldest-quarter,-11.5,3.5,0.9266608357429504
aridity_coldest-quarter,-11.5,4.0,0.9283085465431213
aridity_coldest-quarter,-11.5,4.5,0.9280575513839722
aridity_coldest-quarter,-11.5,5.0,0.9234196543693542
aridity_coldest-quarter,-11.5,5.5,0.9225688576698303
aridity_coldest-quarter,-11.5,6.0,0.9233636856079102
aridity_coldest-quarter,-11.5,6.5,0.9254719614982605
aridity_coldest-quarter,-11.5,7.0,0.9287468791007996
aridity_coldest-quarter,-11.5,7.5,0.9284289479255676
aridity_coldest-quarter,-11.5,8.0,0.9269050359725952
aridity_coldest-quarter,-11.5,8.5,0.9288497567176819
aridity_coldest-quarter,-11.5,9.0,0.9255585670471191
aridity_coldest-quarter,-11.5,9.5,0.9294074773788452
aridity_coldest-quarter,-11.5,10.0,0.9306937456130981
aridity_coldest-quarter,-11.5,10.5,0.9344509840011597
aridity_coldest-quarter,-11.5,11.0,0.9362850785255432
aridity_coldest-quarter,-11.5,11.5,0.9341310858726501
