year,pc,score,variance_explained_pct
2076,PC4,1.6651265468681231e-06,0.027
2077,PC1,-1.5785872164997272e-06,99.758
2077,PC2,-2.7942471092501364e-07,0.112
2077,PC3,-4.594301969973458e-07,0.066
2077,PC4,1.6651265468681231e-06,0.027
2078,PC1,-1.5785872164997272e-06,99.758
2078,PC2,-2.7942471092501364e-07,0.112
2078,PC3,-4.594301969973458e-07,0.066
2078,PC4,1.6651265468681231e-06,0.027
2079,PC1,-1.5785872164997272e-06,99.758
2079,PC2,-2.7942471092501364e-07,0.112
2079,PC3,-4.594301969973458e-07,0.066
2079,PC4,1.6651265468681231e-06,0.027
2080,PC1,-1.5785872164997272e-06,99.758
2080,PC2,-2.7942471092501364e-07,0.112
2080,PC3,-4.594301969973458e-07,0.066
2080,PC4,1.6651265468681231e-06,0.027
2081,PC1,-1.5785872164997272e-06,99.758
2081,PC2,-2.7942471092501364e-07,0.112
2081,PC3,-4.594301969973458e-07,0.066
2081,PC4,1.6651265468681231e-06,0.027
2082,PC1,-1.5785872164997272e-06,99.758
2082,PC2,-2.7942471092501364e-07,0.112
2082,PC3,-4.594301969973458e-07,0.066
2082,PC4,1.6651265468681231e-06,0.027
2083,PC1,-1.5785872164997272e-06,99.758
2083,PC2,-2.7942471092501364e-07,0.112
2083,PC3,-4.594301969973458e-07,0.066
2083,PC4,1.6651265468681231e-06,0.027
2084,PC1,-1.578586875439214e-06,99.758
2084,PC2,-2.794249382986891e-07,0.112
2084,PC3,-4.5943008331050805e-07,0.066
2084,PC4,1.6651267742417986e-06,0.027
2085,PC1,-1.578586875439214e-06,99.758
2085,PC2,-2.794249382986891e-07,0.112
2085,PC3,-4.5943008331050805e-07,0.066
2085,PC4,1.6651267742417986e-06,0.027
2086,PC1,-1.578586875439214e-06,99.758
2086,PC2,-2.794249382986891e-07,0.112
2086,PC3,-4.5943008331050805e-07,0.066
2086,PC4,1.6651267742417986e-06,0.027
2087,PC1,-1.578586875439214e-06,99.758
2087,PC2,-2.794249382986891e-07,0.112
2087,PC3,-4.5943008331050805e-07,0.066
2087,PC4,1.6651267742417986e-06,0.027
2088,PC1,-1.578586875439214e-06,99.758
2088,PC2,-2.794249382986891e-07,0.112
2088,PC3,-4.5943008331050805e-07,0.066
2088,PC4,1.6651267742417986e-06,0.027
2089,PC1,-1.578586875439214e-06,99.758
2089,PC2,-2.794249382986891e-07,0.112
2089,PC3,-4.5943008331050805e-07,0.066
2089,PC4,1.6651267742417986e-06,0.027
2090,PC1,517.248046875,99.758
2090,PC2,10.861166000366211,0.112
2090,PC3,-1.5482571125030518,0.066
2090,PC4,2.3363900184631348,0.027
