variable,lat,lon,slope
evaporative-fraction_coldest-quarter,-13.0,24.0,-0.0017343888147955849
evaporative-fraction_coldest-quarter,-13.0,24.5,-0.0015533670250858578
evaporative-fraction_coldest-quarter,-13.0,25.0,-0.0013276014831804092
evaporative-fraction_coldest-quarter,-13.0,25.5,-0.0013042141106866653
evaporative-fraction_coldest-quarter,-13.0,26.0,-0.0013482999056577682
evaporative-fraction_coldest-quarter,-13.0,26.5,-0.0014988456276201064
evaporative-fraction_coldest-quarter,-13.0,27.0,-0.001755865734247934
evaporative-fraction_coldest-quarter,-13.0,27.5,-0.0020019531782184325
evaporative-fraction_coldest-quarter,-13.0,28.0,-0.002215239884597915
evaporative-fraction_coldest-quarter,-13.0,28.5,-0.0024593969186147055
evaporative-fraction_coldest-quarter,-13.0,29.0,-0.0027138454218705497
evaporative-fraction_coldest-quarter,-13.0,29.5,-0.002851252843226705
evaporative-fraction_coldest-quarter,-13.0,30.0,-0.0028725645194451013
evaporative-fraction_coldest-quarter,-13.0,30.5,-0.0031228219824177878
evaporative-fraction_coldest-quarter,-13.0,31.0,-0.00337404500515688
evaporative-fraction_coldest-quarter,-13.0,31.5,-0.0036004519178753805
evaporative-fraction_coldest-quarter,-13.0,32.0,-0.003738965484358015
evaporative-fraction_coldest-quarter,-13.0,32.5,-0.003638577159671556
evaporative-fraction_coldest-quarter,-13.0,33.0,-0.0032564720493696983
evaporative-fraction_coldest-quarter,-13.0,33.5,-0.002780442968720481
evaporative-fraction_coldest-quarter,-13.0,34.0,-0.002580277710443451
evaporative-fraction_coldest-quarter,-13.0,34.5,-0.00265811365984735
evaporative-fraction_coldest-quarter,-12.5,0.5,0.0003590633471806844
evaporative-fraction_coldest-quarter,-12.5,1.0,0.000364417831103007
evaporative-fraction_coldest-quarter,-12.5,1.5,0.0003697717828410012
evaporative-fraction_coldest-quarter,-12.5,2.0,0.0003785897223722367
evaporative-fraction_coldest-quarter,-12.5,2.5,0.0003982620934645335
evaporative-fraction_coldest-quarter,-12.5,3.0,0.000417934109767278
evaporative-fraction_coldest-quarter,-12.5,3.5,0.0004376059486752464
evaporative-fraction_coldest-quarter,-12.5,4.0,0.00045376217791012356
evaporative-fraction_coldest-quarter,-12.5,4.5,0.0004663178253741491
evaporative-fraction_coldest-quarter,-12.5,5.0,0.00047887365023295086
evaporative-fraction_coldest-quarter,-12.5,5.5,0.0004914294750917525
evaporative-fraction_coldest-quarter,-12.5,6.0,0.0004993281548931485
evaporative-fraction_coldest-quarter,-12.5,6.5,0.0005057890500341142
evaporative-fraction_coldest-quarter,-12.5,7.0,0.0005122490582011995
evaporative-fraction_coldest-quarter,-12.5,7.5,0.0005187071150257474
