eof,lat,lon,loading,variance_explained_pct
EOF1,-13.0,7.0,0.013532293029129505,99.758
EOF1,-13.0,7.5,0.013530735857784748,99.758
EOF1,-13.0,8.0,0.013526508584618568,99.758
EOF1,-13.0,8.5,0.013521450571715832,99.758
EOF1,-13.0,9.0,0.013515518978238106,99.758
EOF1,-13.0,9.5,0.013510591350495815,99.758
EOF1,-13.0,10.0,0.013510315679013729,99.758
EOF1,-13.0,10.5,0.013509760610759258,99.758
EOF1,-13.0,11.0,0.013510232791304588,99.758
EOF1,-13.0,11.5,0.013524001464247704,99.758
EOF1,-13.0,12.0,0.013541968539357185,99.758
EOF1,-13.0,12.5,0.01354935858398676,99.758
EOF1,-13.0,13.0,0.013553482480347157,99.758
EOF1,-13.0,13.5,0.01355835236608982,99.758
EOF1,-13.0,14.0,0.013560106046497822,99.758
EOF1,-13.0,14.5,0.0135584007948637,99.758
EOF1,-13.0,15.0,0.013554100878536701,99.758
EOF1,-13.0,15.5,0.013554433360695839,99.758
EOF1,-13.0,16.0,0.013555048033595085,99.758
EOF1,-13.0,16.5,0.013555566780269146,99.758
EOF1,-13.0,17.0,0.013555736280977726,99.758
EOF1,-13.0,17.5,0.013556449674069881,99.758
EOF1,-13.0,18.0,0.013557004742324352,99.758
EOF1,-13.0,18.5,0.013556493446230888,99.758
EOF1,-13.0,19.0,0.013556006364524364,99.758
EOF1,-13.0,19.5,0.013555807061493397,99.758
EOF1,-13.0,20.0,0.013555657118558884,99.758
EOF1,-13.0,20.5,0.01355538796633482,99.758
EOF1,-13.0,21.0,0.013554161414504051,99.758
EOF1,-13.0,21.5,0.013552413322031498,99.758
EOF1,-13.0,22.0,0.0135504687204957,99.758
EOF1,-13.0,22.5,0.013548276387155056,99.758
EOF1,-13.0,23.0,0.01355037558823824,99.758
EOF1,-13.0,23.5,0.013552157208323479,99.758
EOF1,-13.0,24.0,0.013553032651543617,99.758
EOF1,-13.0,24.5,0.013553516939282417,99.758
EOF1,-13.0,25.0,0.013553897850215435,99.758
EOF1,-13.0,25.5,0.013554180040955544,99.758
EOF1,-13.0,26.0,0.013554380275309086,99.758
EOF1,-13.0,26.5,0.013554360717535019,99.758
EOF1,-13.0,27.0,0.013554138131439686,99.758
EOF1,-13.0,27.5,0.013554020784795284,99.758
EOF1,-13.0,28.0,0.013554352335631847,99.758
EOF1,-13.0,28.5,0.0135538000613451,99.758
EOF1,-13.0,29.0,0.013552800752222538,99.758
EOF1,-13.0,29.5,0.013552511110901833,99.758
EOF1,-13.0,30.0,0.013552956283092499,99.758
EOF1,-13.0,30.5,0.013552247546613216,99.758
